tier,district_bn,upazila_bn,unit_bn,key1,key2,key3,name_en,score,nsim,roll_voters,registered,union_ward_bn,voters,u35,first_time,muslim,hindu,indigenous,christian,buddhist,unknown,age_18_24,age_25_34,age_35_44,age_45_54,age_55_64,age_65p,ward_no,ukey,n_centres,cid,cast,turnout,bnp_share,jamaat_share,ncp_share,iab_share,bnp_coal_share,jam_coal_share,classified,minority_pct,hindu_pct,u35_pct,first_time_pct,roll_ratio,district_en,belt,ok,jam_stood,bnp_stood,seat_winner
union,কক্সবাজার,মহেশখালী,কালারমার ছড়া,Cox's Bazar,Maheshkhali,Kalarmarchhara,Kalarmarchhara,0.915,0.889,46715,46424,কালারমার ছড়া,46715,18514,19874,45004,581,2,0,1123,5,6780,11734,13108,7355,4022,3713,,Cox's Bazar||Maheshkhali||Kalarmarchhara,14,295,25843.0,55.66732724452869,42.839453623805284,48.11747862090314,0.0,8.54776922183957,42.839453623805284,48.11747862090314,46710,3.652322843074288,1.2438450010704345,39.63180991116344,42.54308038103393,1.0062683094950888,Cox's Bazar,False,1,True,True,BNP
union,কক্সবাজার,মহেশখালী,মাতারবাড়ী,Cox's Bazar,Maheshkhali,Matarbari,Matarbari,0.914,0.889,40918,40491,মাতারবাড়ী,40918,15480,16562,40263,655,0,0,0,0,4830,10650,11412,6880,3803,3342,,Cox's Bazar||Maheshkhali||Matarbari,11,295,17347.0,42.841619125237706,61.220960396610366,35.481639476566556,0.0,2.8189312273015505,61.220960396610366,35.481639476566556,40918,1.600762500610978,1.600762500610978,37.83176108314189,40.47607409941835,1.0105455533328394,Cox's Bazar,False,1,True,True,BNP
union,কক্সবাজার,মহেশখালী,হোয়ানক,Cox's Bazar,Maheshkhali,Hoanak,Hoanak,0.873,0.833,44718,44302,হোয়ানক,44718,18281,19501,41137,3571,5,0,1,4,6678,11603,12081,6962,3842,3552,,Cox's Bazar||Maheshkhali||Hoanak,13,295,26228.0,59.20274479707462,58.35748055513192,31.443495500991308,0.0,9.71099588226323,58.35748055513192,31.443495500991308,44714,7.999731627678132,7.9863130115847385,40.88062972404848,43.60883760454403,1.0093900952552932,Cox's Bazar,False,1,True,True,BNP
union,কক্সবাজার,মহেশখালী,বড় মহেশখালী,Cox's Bazar,Maheshkhali,Bara Maheshkhali,Bara Maheshkhali,0.859,0.815,40594,40191,বড় মহেশখালী,40594,15308,16429,39031,1560,1,0,0,2,5455,9853,11605,6351,3630,3700,,Cox's Bazar||Maheshkhali||Bara Maheshkhali,11,295,25002.0,62.2079570052997,61.835053195744344,30.81753459723222,0.0,7.047436205103592,61.835053195744344,30.81753459723222,40592,3.8455853370122193,3.8431217973985023,37.71000640488742,40.47149825097305,1.0100271204996143,Cox's Bazar,False,1,True,True,BNP
union,কক্সবাজার,টেকনাফ,সাবরাং,Cox's Bazar,Teknaf,Sabrang,Sabrang,0.998,1.0,41947,41534,সাবরাং,41947,15790,16609,41666,260,11,0,4,6,4961,10829,11273,6887,4025,3969,,Cox's Bazar||Teknaf||Sabrang,14,297,22722.0,54.70698704675687,53.894903617639294,44.20385529442831,0.0,1.7384033095678197,53.894903617639294,44.20385529442831,41941,0.6556829832383586,0.6199184568799028,37.64273964765061,39.595203471046794,1.0099436606153995,Cox's Bazar,False,1,True,True,BNP
union,কক্সবাজার,টেকনাফ,বাহারছড়া,Cox's Bazar,Teknaf,Baharchhara,Baharchhara,0.89,0.857,25932,25588,বাহারছড়া,25932,10291,10860,25639,112,170,0,1,10,3580,6711,6854,4494,2325,1967,,Cox's Bazar||Teknaf||Baharchhara,7,297,17365.0,67.86384242613725,55.34120357040023,43.30549956809675,0.0,1.1978116901813993,55.34120357040023,43.30549956809675,25922,1.0917367487076615,0.4320654270503819,39.684559617461055,41.878759833410456,1.0134438017820853,Cox's Bazar,False,1,True,True,BNP
union,কক্সবাজার,টেকনাফ,সেন্টমাটির্ন,Cox's Bazar,Teknaf,Saint Martin,Saint Martin,0.821,0.762,4055,4045,সেন্টমাটির্ন,4055,1787,1882,4044,11,0,0,0,0,666,1121,1071,646,316,235,,Cox's Bazar||Teknaf||Saint Martin,1,297,3048.0,75.3522867737948,66.20734908136482,32.15223097112861,0.0,1.3779527559055118,66.20734908136482,32.15223097112861,4055,0.2712700369913687,0.2712700369913687,44.06905055487053,46.41183723797781,1.0024721878862795,Cox's Bazar,False,1,True,True,BNP
union,কক্সবাজার,টেকনাফ,হৃীলা,Cox's Bazar,Teknaf,Nhila,Nhila,0.793,0.727,36226,35863,হৃীলা,36226,14906,15537,35053,738,378,1,1,55,5212,9694,9760,5682,3328,2550,,Cox's Bazar||Teknaf||Nhila,11,297,23627.0,65.88127039009564,48.82126380835485,48.87628560545139,0.0,2.137385194904135,48.82126380835485,48.87628560545139,36171,3.090873904509137,2.040308534461309,41.14724231215149,42.88908518743444,1.0101218526057496,Cox's Bazar,False,1,True,True,BNP
union,কক্সবাজার,টেকনাফ,টেকনাফ,Cox's Bazar,Teknaf,Teknaf,Teknaf,0.775,0.769,35574,28242,টেকনাফ,35574,13519,14237,35151,407,9,0,3,4,4450,9069,10241,5876,3152,2786,,Cox's Bazar||Teknaf||Teknaf,9,297,17260.0,61.11465193683167,46.68597914252607,50.585168018539974,0.0,2.618771726535342,46.68597914252607,50.585168018539974,35570,1.1779589541748665,1.14422265954456,38.00247371675943,40.0208017091134,1.2596133418313151,Cox's Bazar,False,1,True,True,BNP
union,কক্সবাজার,টেকনাফ,হোয়াইক্যং,Cox's Bazar,Teknaf,Whykyong,Whykyong,0.688,0.588,40362,39854,হোয়াইক্যং,40362,16880,17691,38631,245,1287,0,151,48,6168,10712,10559,6322,3583,3018,,Cox's Bazar||Teknaf||Whykyong,12,297,26575.0,66.6808852310935,45.4788334901223,51.676387582314206,0.0,2.6754468485418625,45.4788334901223,51.676387582314206,40314,4.174728382199732,0.6077293248003175,41.82151528665577,43.83083097963431,1.012746524815577,Cox's Bazar,False,1,True,True,BNP
union,কক্সবাজার,চকরিয়া,হারবাং,Cox's Bazar,Chakaria,Harbang,Harbang,0.997,1.0,27281,26963,হারবাং,27281,10854,11264,24014,2195,498,0,513,61,4224,6630,6579,4633,2641,2574,,Cox's Bazar||Chakaria||Harbang,9,294,18327.0,67.97092311686384,49.669885960604574,49.36978228842691,0.0,0.9603317509685164,49.669885960604574,49.36978228842691,27220,11.77810433504776,8.063923585598824,39.78593160074777,41.28880906125142,1.0117939398434892,Cox's Bazar,False,1,True,True,BNP
union,কক্সবাজার,চকরিয়া,কোনাখালী,Cox's Bazar,Chakaria,Konakhali,Konakhali,0.996,1.0,15801,15566,কোনাখালী,15801,6356,6627,15799,2,0,0,0,0,2321,4035,4442,2482,1283,1237,,Cox's Bazar||Chakaria||Konakhali,6,294,10228.0,65.70731080560195,72.43840438013297,26.280797809933517,0.0,1.2807978099335158,72.43840438013297,26.280797809933517,15801,0.012657426745142713,0.012657426745142713,40.22530219606354,41.94038352003038,1.015097006295773,Cox's Bazar,False,1,True,True,BNP
union,কক্সবাজার,চকরিয়া,সুরাজপুর মাণিকপুর,Cox's Bazar,Chakaria,Surajpur Manikpur,Surajpur Manikpur,0.996,1.0,11056,10864,সুরাজপুর মাণিকপুর,11056,4496,4692,9963,208,274,0,611,0,1772,2724,2923,1639,1002,996,,Cox's Bazar||Chakaria||Surajpur Manikpur,4,294,7414.0,68.24374079528718,60.14297275424872,37.57755597518209,0.0,2.2794712705691933,60.14297275424872,37.57755597518209,11056,9.88603473227207,1.8813314037626627,40.6657018813314,42.43849493487699,1.0176730486008836,Cox's Bazar,False,1,True,True,BNP
union,কক্সবাজার,চকরিয়া,কাকারা,Cox's Bazar,Chakaria,Kakara,Kakara,0.995,1.0,19937,19570,কাকারা,19937,8346,8690,18204,1731,1,1,0,0,3238,5108,4982,3008,1885,1715,,Cox's Bazar||Chakaria||Kakara,7,294,12910.0,65.9683188553909,54.29899302865995,44.593338497288926,0.0,1.1076684740511231,54.29899302865995,44.593338497288926,19937,8.692381000150474,8.682349400611928,41.86186487435422,43.5872999949842,1.018753193663771,Cox's Bazar,False,1,True,True,BNP
union,কক্সবাজার,চকরিয়া,চিরিংগা,Cox's Bazar,Chakaria,Chiringga,Chiringga,0.995,1.0,13431,13177,চিরিংগা,13431,5756,6009,13207,224,0,0,0,0,2133,3623,3729,1972,1095,879,,Cox's Bazar||Chakaria||Chiringga,4,294,9294.0,70.53198755407149,65.25715515386271,33.333333333333336,0.0,1.4095115128039595,65.25715515386271,33.333333333333336,13431,1.6677834859653042,1.6677834859653042,42.85607921971558,44.739781103417464,1.0192760112316916,Cox's Bazar,False,1,True,True,BNP
union,কক্সবাজার,চকরিয়া,খুটাখালী,Cox's Bazar,Chakaria,Khutakhali,Khutakhali,0.995,1.0,27822,27256,খুটাখালী,27822,11557,12128,27192,624,0,0,3,3,4167,7390,6898,4569,2601,2197,,Cox's Bazar||Chakaria||Khutakhali,8,294,18120.0,66.48077487525683,60.19867549668874,39.0121412803532,0.0,0.7891832229580574,60.19867549668874,39.0121412803532,27819,2.2538552787663106,2.2430712822171897,41.539069800877,43.591402487240316,1.0207660698561785,Cox's Bazar,False,1,True,True,BNP
union,কক্সবাজার,চকরিয়া,সাহারবিল,Cox's Bazar,Chakaria,Saharbil,Saharbil,0.994,1.0,17020,16595,সাহারবিল,17020,7234,7598,16083,925,0,1,0,11,2504,4730,4403,2579,1539,1263,,Cox's Bazar||Chakaria||Saharbil,6,294,11292.0,68.04459174450136,50.318809776833156,48.60963513992207,0.0,1.071555083244775,50.318809776833156,48.60963513992207,17009,5.44417661238168,5.43829737197954,42.50293772032902,44.64159811985899,1.025610123531184,Cox's Bazar,False,1,True,True,BNP
union,কক্সবাজার,চকরিয়া,ভেওলা মাণিকচর,Cox's Bazar,Chakaria,Bheola Manikchar,Bheola Manikchar,0.969,0.966,17648,17297,ভেওলা মাণিকচর,17648,7128,7445,17640,4,0,0,0,4,2432,4696,4582,2702,1676,1560,,Cox's Bazar||Chakaria||Bheola Manikchar,6,294,10717.0,61.95872116552003,71.10198749650088,26.779882429784454,0.0,2.118130073714659,71.10198749650088,26.779882429784454,17644,0.022670596236681023,0.022670596236681023,40.389845874886674,42.18608340888486,1.0202925362779673,Cox's Bazar,False,1,True,True,BNP
union,কক্সবাজার,চকরিয়া,ঢেমুশিয়া,Cox's Bazar,Chakaria,Dhemushia,Dhemushia,0.957,0.947,10398,10233,ঢেমুশিয়া,10398,4030,4224,10320,78,0,0,0,0,1285,2745,2768,1742,987,871,,Cox's Bazar||Chakaria||Dhemushia,3,294,6780.0,66.25622984462035,71.38643067846607,27.256637168141594,0.0,1.3569321533923304,71.38643067846607,27.256637168141594,10398,0.7501442585112522,0.7501442585112522,38.75745335641469,40.62319676860935,1.0161243037232484,Cox's Bazar,False,1,True,True,BNP
union,কক্সবাজার,চকরিয়া,ডুলাহাজারা,Cox's Bazar,Chakaria,Dulahazara,Dulahazara,0.921,0.9,34835,34289,ডুলাহাজারা,34835,14361,15078,30660,4042,88,14,11,20,5262,9099,8904,5540,3086,2943,,Cox's Bazar||Chakaria||Dulahazara,11,294,21970.0,64.07302633497623,62.940373236231224,36.10377787892581,0.0,0.9558488848429677,62.940373236231224,36.10377787892581,34815,11.934510986643689,11.609938245009335,41.22577867087699,43.28405339457442,1.0159234740004084,Cox's Bazar,False,1,True,True,BNP
union,কক্সবাজার,চকরিয়া,বদরখালী,Cox's Bazar,Chakaria,Badarkhali,Badarkhali,0.913,0.889,25314,24952,বদরখালী,25314,9161,9711,25205,104,1,0,0,4,3264,5897,6923,4539,2600,2090,,Cox's Bazar||Chakaria||Badarkhali,9,294,15968.0,63.99487015068932,67.72294589178357,31.606963927855713,0.0,0.6700901803607214,67.72294589178357,31.606963927855713,25310,0.4148557882259976,0.4109047807190834,36.18946037765663,38.36217113059967,1.014507855081757,Cox's Bazar,False,1,True,True,BNP
union,কক্সবাজার,চকরিয়া,লক্ষ্যারচর,Cox's Bazar,Chakaria,Lakkhyarchar,Lakkhyarchar,0.888,0.857,7578,7431,লক্ষ্যারচর,7578,3065,3220,7545,29,0,0,4,0,1079,1986,2008,1181,692,632,,Cox's Bazar||Chakaria||Lakkhyarchar,2,294,4821.0,64.87686717803795,56.77245384774943,42.00373366521469,0.0,1.2238124870358846,56.77245384774943,42.00373366521469,7578,0.43547110055423593,0.38268672472948007,40.44602797571919,42.491422538928475,1.0197819943480015,Cox's Bazar,False,1,True,True,BNP
union,কক্সবাজার,চকরিয়া,পশ্চিম বড় ভেওলা,Cox's Bazar,Chakaria,Pashchim Bara Bheola,Pashchim Bara Bheola,0.884,0.848,8075,7983,পশ্চিম বড় ভেওলা,8075,3301,3447,7974,100,0,0,1,0,1200,2101,2142,1270,774,588,,Cox's Bazar||Chakaria||Pashchim Bara Bheola,4,294,4916.0,61.580859326067895,65.17493897477624,31.061838893409277,0.0,3.763222131814483,65.17493897477624,31.061838893409277,8075,1.2507739938080495,1.238390092879257,40.87925696594427,42.68730650154799,1.011524489540273,Cox's Bazar,False,1,True,True,BNP
union,কক্সবাজার,চকরিয়া,বমুবিলছড়ি,Cox's Bazar,Chakaria,Bamu Bilchhari,Bamu Bilchhari,0.872,0.833,6693,6613,বমুবিলছড়ি,6693,2913,3032,6331,29,107,0,219,7,1231,1682,1722,961,619,478,,Cox's Bazar||Chakaria||Bamu Bilchhari,3,294,4766.0,72.07016482685619,70.73017205203524,27.381451951321864,0.0,1.888375996642887,70.73017205203524,27.381451951321864,6686,5.309602153754113,0.43374214777146275,43.52308381891528,45.301060809801285,1.0120973839407228,Cox's Bazar,False,1,True,True,BNP
union,কক্সবাজার,চকরিয়া,পূর্ব বড় ভেওলা,Cox's Bazar,Chakaria,Purba Bara Bheola,Purba Bara Bheola,0.857,0.815,22520,22105,পূর্ব বড় ভেওলা,22520,9248,9642,21906,611,2,0,0,1,3368,5880,5901,3626,2058,1684,,Cox's Bazar||Chakaria||Purba Bara Bheola,8,294,14340.0,64.87220085953405,63.668061366806135,34.68619246861925,0.0,1.6457461645746165,63.668061366806135,34.68619246861925,22519,2.722145743594298,2.7132643545450508,41.06571936056838,42.815275310834814,1.0187740330242028,Cox's Bazar,False,1,True,True,BNP
union,কক্সবাজার,চকরিয়া,কৈয়ারবিল,Cox's Bazar,Chakaria,Kaiyarbil,Kaiyarbil,0.829,0.778,17547,17224,কৈয়ারবিল,17547,6833,7114,16236,1309,0,0,1,1,2482,4351,4512,2795,1724,1683,,Cox's Bazar||Chakaria||Kaiyarbil,5,294,10829.0,62.871574547143524,65.62009419152277,31.748083848924185,0.0,2.631821959553052,65.62009419152277,31.748083848924185,17546,7.4660891371252704,7.460389832440442,38.941129537812735,40.54254288482362,1.0187529029261495,Cox's Bazar,False,1,True,True,BNP
