cid,name,winner,winner_pct,turnout,jam,bnp,ncp,median_age,u35,first_time_pct,non_muslim_pct,hindu_pct,stype
185,Dhaka-12,Jamaat,43.51,36.43,43.51,0.0,0.0,43.0,22.77,25.04,7.54,5.12,city
186,Dhaka-13,BNP,49.74,43.28,0.0,49.74,0.0,43.0,28.23,30.25,3.73,3.36,city
187,Dhaka-14,Jamaat,48.59,45.17,48.59,40.44,0.0,42.0,27.95,30.14,3.71,3.25,city
188,Dhaka-15,Jamaat,55.8,42.87,55.8,42.01,0.0,42.0,27.1,29.19,3.83,3.27,city
189,Dhaka-16,Jamaat,48.87,44.94,48.87,47.53,0.0,41.0,28.87,30.94,1.94,1.85,city
190,Dhaka-17,BNP,50.31,43.31,46.46,50.31,0.0,43.0,27.03,28.91,4.62,2.96,city
191,Dhaka-18,BNP,53.9,43.83,0.0,53.9,40.96,42.0,29.81,31.85,3.51,3.08,city
192,Dhaka-19,BNP,57.7,44.72,0.0,57.7,37.74,41.0,28.43,30.61,6.91,5.93,rural
193,Dhaka-20,BNP,69.87,61.9,0.0,69.87,24.54,42.0,30.73,32.47,10.53,9.95,rural
194,Gazipur-1,BNP,55.88,51.86,39.79,55.88,0.0,40.0,29.74,31.98,7.14,6.93,mixed
195,Gazipur-2,BNP,53.87,43.57,0.0,53.87,40.02,40.0,30.42,32.61,4.04,3.78,city
196,Gazipur-3,BNP,55.01,56.03,0.0,55.01,0.0,41.0,32.93,34.74,3.61,3.52,rural
197,Gazipur-4,Jamaat,50.66,60.19,50.66,45.6,0.0,41.0,33.45,35.03,5.18,5.17,rural
198,Gazipur-5,BNP,59.64,63.57,34.32,59.64,0.0,41.0,33.76,35.57,16.89,11.87,rural
199,Narsingdi-1,BNP,59.4,57.22,34.62,59.4,0.0,,,,,,rural
200,Narsingdi-2,BNP,54.66,59.54,32.65,54.66,11.38,41.0,34.76,36.45,9.54,9.52,rural
201,Narsingdi-3,BNP,49.25,58.84,2.71,49.25,0.0,40.0,35.86,37.75,3.89,3.88,rural
202,Narsingdi-4,BNP,64.75,59.14,30.57,64.75,0.0,40.0,36.11,37.8,3.67,3.66,rural
203,Narsingdi-5,BNP,56.11,49.92,0.0,56.11,0.0,,,,,,rural
204,Narayanganj-1,BNP,61.2,62.66,35.55,61.2,0.0,41.0,33.16,34.87,5.63,5.57,rural
205,Narayanganj-2,BNP,54.02,63.98,35.23,54.02,0.0,39.0,37.89,39.45,3.24,3.23,rural
206,Narayanganj-3,BNP,46.92,56.0,40.32,46.92,0.0,40.0,33.27,35.28,3.14,3.09,mixed
207,Narayanganj-4,NCP,40.19,48.5,0.0,0.0,40.19,,,,,,rural
208,Narayanganj-5,BNP,43.27,54.83,0.0,43.27,0.0,42.0,31.24,32.85,11.15,11.09,city
209,Rajbari-1,BNP,58.32,61.83,37.65,58.32,0.0,41.0,33.51,35.27,7.28,7.22,rural
210,Rajbari-2,BNP,67.35,63.22,0.0,67.35,18.72,41.0,33.71,35.57,11.76,11.71,rural
211,Faridpur-1,Jamaat,48.3,62.49,48.3,39.81,0.0,40.0,35.92,37.65,11.86,11.74,rural
212,Faridpur-2,BNP,56.84,64.76,0.0,56.84,0.0,40.0,36.92,38.85,7.12,7.11,rural
213,Faridpur-3,BNP,53.43,64.53,44.25,53.43,0.0,42.0,32.88,34.53,9.85,9.8,rural
214,Faridpur-4,BNP,46.63,55.27,27.13,46.63,0.0,41.0,33.82,35.57,6.25,6.21,rural
215,Gopalganj-1,BNP,36.33,47.91,17.76,36.33,0.0,40.0,35.59,37.24,20.14,19.82,rural
216,Gopalganj-2,Independent,50.33,38.47,0.0,27.05,0.0,41.0,34.95,36.48,25.55,25.27,rural
