district_en,upazila_en,district_bn,upazila_bn,voters,u35,first_time,age_18_24,age_25_34,age_35_44,age_45_54,age_55_64,age_65p,muslim,hindu,indigenous,christian,buddhist,unknown,registered,valid_votes_cast,turnout,bnp_share,jamaat_share,ncp_share,iab_share,km_share,independent_share,bnp_coalition_share,jamaat_coalition_share,leading_coalition,u35_pct,first_time_pct,minority_pct,hindu_pct,roll_ratio,ok
Kishoreganj,Mithamain,কিশোরগঞ্জ,মিঠামইন,111233,45465,47639,16150,29315,26587,17940,11096,10145,95085,7986,25,19,0,8118,110263,53433,48.45959206624162,51.563640446914825,42.28847341530515,0.0,1.820972058465742,0.7149140044541763,3.5296539591638125,51.563640446914825,42.28847341530515,BNP-led Coalition,40.87366159323222,42.82811755504212,7.787421810599816,7.744751006158173,1.008797148635535,1
Kishoreganj,Hossainpur,কিশোরগঞ্জ,হোসেনপুর,175046,65442,68932,19998,45444,43546,28638,19633,17785,146635,4270,116,55,0,23970,172770,73299,42.42576836256295,55.571017339936425,0.0,0.0,0.0,38.1696885359964,4.911390332746695,55.571017339936425,0.0,BNP-led Coalition,37.38560149903454,39.37936313883208,2.939580078900686,2.8263920146151604,1.0131735833767437,1
Kurigram,Ulipur,কুড়িগ্রাম,উলিপুর,367334,121511,128994,44708,76803,88626,65472,46874,44841,311803,31193,44,56,8,24230,366368,222236,60.65922788016421,35.539696538814596,48.11686675426124,0.0,15.033117946687304,0.0,0.1070933602116668,35.539696538814596,48.11686675426124,Jamaat-led Coalition,33.0791595659536,35.116270206406156,9.122889852639434,9.09141251632158,1.0026366931609747,1
Kurigram,Kurigram Sadar,কুড়িগ্রাম,কুড়িগ্রাম সদর,276154,97699,102702,35455,62244,65432,46874,34508,31632,232013,21850,74,74,0,22143,274975,181174,65.88744431311937,39.56969543091172,0.0,45.501010078708866,9.974941216730878,0.0,0.066786625012419,39.56969543091172,45.58545928223697,Jamaat-led Coalition,35.37844825713189,37.19011855703702,8.66025487085205,8.601989677612387,1.004287662514774,1
Kurigram,Rajibpur,কুড়িগ্রাম,চর রাজিবপুর,69448,25687,26897,8596,17091,16215,12328,8154,7061,63864,659,5,4,0,4916,68702,44423,64.66041745509592,41.777907840533054,55.50052900524503,0.0,0.9049366319249038,0.0,1.0377507147198524,41.777907840533054,55.50052900524503,Jamaat-led Coalition,36.98738624582421,38.72969703951158,1.0351453542428564,1.0211987850988655,1.0108584902914035,1
Kurigram,Chilmari,কুড়িগ্রাম,চিলমারী,114105,40159,42567,14649,25510,28015,19114,13693,13121,98387,6696,12,19,0,8991,113166,63184,55.83302405316084,28.706634591035705,39.01462395543175,0.0,1.1142061281337048,0.0,30.900227905798936,28.706634591035705,39.01462395543175,Jamaat-led Coalition,35.19477674072127,37.3051137110556,6.39971840097418,6.37022661110794,1.008297545199088,1
Kurigram,Nageshwari,কুড়িগ্রাম,নাগেশ্বরী,350969,124456,130397,40609,83847,84152,61130,41873,39348,311574,18842,29,42,1,20481,349687,218520,62.49016978040362,31.63509060955519,42.37506864360242,0.0,13.047775947281714,0.0,0.0,31.63509060955519,42.37506864360242,Jamaat-led Coalition,35.46068171262989,37.15342380666099,5.7230519716298325,5.701266006632616,1.0036661357156542,1
Kurigram,Phulbari,কুড়িগ্রাম,ফুলবাড়ী,153170,52429,55545,19606,32823,36246,26697,19308,18484,128613,16401,21,22,0,8113,152092,100705,66.21321305525603,47.23300729854525,0.0,46.854674544461545,2.4844843850851497,0.0,0.0744749515912814,47.23300729854525,46.9738344670076,BNP-led Coalition,34.22928771952732,36.26362864790755,11.336233342754918,11.306589823310835,1.0070878152697051,1
Kurigram,Bhurungamari,কুড়িগ্রাম,ভুরুংগামারী,212175,72046,76229,26363,45683,52298,36878,26761,24187,192023,5124,22,29,0,14977,210579,135454,64.32455278066664,39.26794336084575,34.62430050053893,0.0,7.499224829093271,0.0,0.0,39.26794336084575,34.62430050053893,BNP-led Coalition,33.95593260280429,35.92741840461883,2.6242659661862695,2.5984036349253037,1.0075791033293915,1
Kurigram,Rajarhat,কুড়িগ্রাম,রাজারহাট,174823,58389,62094,21386,37003,41920,30751,22346,21405,129256,35145,55,20,3,10344,173739,109159,62.829301423399464,46.79320990481774,0.0,45.11584019641074,3.7972132394030726,0.0,0.1062670050110389,46.79320990481774,45.25050614241611,BNP-led Coalition,33.398923482608126,35.51820984653049,21.41489187069474,21.36746940338888,1.0062392439233565,1
Kurigram,Roumari,কুড়িগ্রাম,রৌমারী,178691,64566,68693,22395,42171,42848,32071,21209,17996,160389,2565,17,27,0,15693,177099,112070,63.280989728908686,41.99607388239493,50.89765325243152,0.0,4.536450432765236,0.0,0.8325153921656108,41.99607388239493,50.89765325243152,Jamaat-led Coalition,36.132765500221055,38.44233900979904,1.6006331366029032,1.5736389403550963,1.008989322356422,1
Cumilla,Sadar Dakkhin,কুমিল্লা,কুমিল্লা সদর দক্ষিণ,218909,74188,78495,23513,50675,60712,38376,24590,21039,179284,14155,176,71,3,25220,138804,76653,55.22391285553731,64.42409299048961,33.10503176653229,0.0,1.36459107927935,0.0,0.1187168147365399,64.42409299048961,33.10503176653229,BNP-led Coalition,33.88988118350547,35.857365389271344,7.437180221902121,7.308107326693824,1.5771087288550762,1
Cumilla,Chandina,কুমিল্লা,চান্দিনা,329008,120174,125892,39393,80781,88456,53581,35014,31775,274948,24383,54,60,0,29563,323444,177680,54.93377524393713,26.972647456100855,0.0,0.0,7.924358397118415,13.84342638451148,51.11380009004953,26.972647456100855,13.84342638451148,Independent,36.52616349754413,38.264115158294025,8.180801148791932,8.142730718495883,1.017202359604754,1
Cumilla,Chauddagram,কুমিল্লা,চৌদ্দগ্রাম,421556,148510,156565,45158,103352,110250,72497,48705,41589,347660,19589,91,140,41,54035,396390,213894,53.96049345341709,35.82989705181071,62.32432887318017,0.0,1.2931639036158098,0.0,0.0,35.82989705181071,62.32432887318017,Jamaat-led Coalition,35.22900872007515,37.13978688477925,5.40404493892866,5.330035562593702,1.0634879790105705,1
Cumilla,Titas,কুমিল্লা,তিতাস,177199,58411,61739,18493,39918,49779,31184,19541,18282,146147,9659,15,70,0,21308,173318,92041,53.10527469737708,32.822329179387445,32.714768418422224,0.0,2.861768125074695,0.0,30.79497180604296,32.822329179387445,32.714768418422224,BNP-led Coalition,32.96350430871506,34.84161874502678,6.250521197503383,6.195995920226312,1.0223923654784846,1
Cumilla,Daudkandi,কুমিল্লা,দাউদকান্দি,324530,106782,112844,37321,69461,89811,58025,37251,32650,259557,31201,134,73,1,33564,317680,179440,56.4845127171997,56.50579580918413,40.87104324565314,0.0,1.8602318323673652,0.0,0.1666295140436914,56.50579580918413,40.87104324565314,BNP-led Coalition,32.903583644039074,34.771515730440946,10.794732030546523,10.723246014998317,1.021562578695543,1
Cumilla,Nangalkot,কুমিল্লা,নাঙ্গলকোট,361313,136682,143845,46685,89997,94173,58258,37770,34419,307780,11944,89,43,0,41457,351925,192151,54.59998579242736,57.605737154633594,39.179603540965175,0.0,2.771778445077049,0.0,0.0,57.605737154633594,39.179603540965175,BNP-led Coalition,37.829250539006345,39.81174217368321,3.775448952028413,3.734180381171527,1.0266761383817575,1
Cumilla,Barura,কুমিল্লা,বরুড়া,380810,131702,139103,38495,93207,100681,65053,43129,40226,315883,27304,109,79,171,37264,372385,215463,57.860279012312525,77.70754143402812,19.188909464734085,0.0,1.0136311106779354,0.0,0.0737945726180365,77.70754143402812,19.188909464734085,BNP-led Coalition,34.58470103201071,36.52818991097923,8.052196794606836,7.947698415932655,1.0226244343891402,1
Cumilla,Burichang,কুমিল্লা,বুড়িচং,275745,97510,102756,32506,65004,74619,46840,30379,26392,232403,11650,41,71,0,31580,268690,144938,53.942461572816256,51.57998592501622,46.234251887013755,0.0,0.4898646317735859,0.0,0.0,51.57998592501622,46.234251887013755,BNP-led Coalition,35.36238191082341,37.26486427677746,4.817234247332746,4.771363627055475,1.0262570248241467,1
Cumilla,Brahmanpara,কুমিল্লা,ব্রাক্ষ্মণ পাড়া,200373,76183,80111,26723,49460,53053,31734,21144,18256,170957,9214,14,55,0,20133,195149,110805,56.779691415277554,52.144758810522994,46.19556879202202,0.0,0.6687423852714228,0.0,0.0,52.144758810522994,46.19556879202202,BNP-led Coalition,38.020591596672205,39.980935555189575,5.150355082112738,5.1120727918331115,1.0267692891072977,1
Cumilla,Manoharganj,কুমিল্লা,মনোহরগঞ্জ,230083,89860,94580,27282,62578,59609,36767,24430,19415,197581,8383,36,29,0,24054,224008,137283,61.28486482625621,54.445197147498234,40.417968721546,0.0,3.673433709927667,0.0,0.2440214738897023,54.445197147498234,40.417968721546,BNP-led Coalition,39.05547128644881,41.106904899536254,4.100393633905907,4.068844677205636,1.0271195671583158,1
Cumilla,Muradnagar,কুমিল্লা,মুরাদনগর,500680,182898,191968,58627,124271,134090,83213,53751,46721,416667,44225,47,107,7,39627,491227,267807,54.517972342725464,58.92303039128925,39.17223970994037,0.0,1.308778336637952,0.0,0.0,58.92303039128925,39.17223970994037,BNP-led Coalition,36.52991930973876,38.341455620356314,9.62709276373866,9.59217270031862,1.019243649066521,1
Cumilla,Meghna,কুমিল্লা,মেঘনা,114067,39809,41718,12756,27053,29535,20446,12882,11395,94320,6285,17,35,0,13410,112335,59834,53.263898161748344,65.03158739178393,28.67934619112879,0.0,5.099107530835311,0.0,0.1754855099107531,65.03158739178393,28.67934619112879,BNP-led Coalition,34.899664232424804,36.5732420419578,6.295637660570055,6.243977070645856,1.015418168869898,1
Cumilla,Laksam,কুমিল্লা,লাকসাম,248423,91669,97064,29847,61822,63724,39985,27465,25572,207271,15819,88,49,256,24940,243364,157633,64.77252181916799,59.22871479956608,36.77339135840845,0.0,1.5326739959272488,0.0,0.2296473454162516,59.22871479956608,36.77339135840845,BNP-led Coalition,36.90036751830547,39.07206659608812,7.254243052044227,7.078390750079424,1.0207877911276937,1
Cumilla,Lalmai,কুমিল্লা,লালমাই,156844,53889,56928,18052,35837,42450,27025,17818,15659,133096,7932,24,33,281,15478,170364,94959,55.73888849756991,53.87272401773397,43.0354152844912,0.0,2.565317663412631,0.0,0.0,53.87272401773397,43.0354152844912,BNP-led Coalition,34.35834332202698,36.29593736451506,5.850062957146697,5.610967276431391,0.92064051090606,1
Cumilla,Homna,কুমিল্লা,হোমনা,197854,68119,71766,20691,47428,52782,33690,21996,21266,167482,12608,24,43,1,17696,194457,104535,53.75738595164998,44.0598842492945,19.1562634524322,0.0,3.6676711149375807,0.0,32.56421294303343,44.0598842492945,19.1562634524322,BNP-led Coalition,34.42892233667249,36.27220071365755,7.036046137279499,6.998301490913532,1.0174691577058168,1
Kushtia,Kumarkhali,কুষ্টিয়া,কুমারখালী,302527,99690,104390,36623,63067,73788,54947,38887,35210,257320,20068,228,81,0,24830,299773,212668,70.94301354691717,43.69721819925894,51.1304004363609,0.0,4.774107999322888,0.0,0.0,43.69721819925894,51.1304004363609,Jamaat-led Coalition,32.952430692136566,34.50601103372591,7.337853847898969,7.226581489897262,1.009186951459938,1
Kushtia,Kushtia Sadar,কুষ্টিয়া,কুষ্টিয়া সদর,440375,136543,143385,50079,86464,106946,83285,60621,52971,355953,33880,375,168,3,49996,435174,312536,71.81862887029096,40.43886144316175,57.56712826682366,0.0,1.6174136739447615,0.0,0.137904113446131,40.43886144316175,57.56712826682366,Jamaat-led Coalition,31.006074368435993,32.55975021288675,8.818609607586474,8.678745526782947,1.0119515412225917,1
Kushtia,Khoksa,কুষ্টিয়া,খোকসা,121548,40440,42604,15399,25041,30274,21138,15471,14225,95572,16588,58,29,0,9301,120285,86949,72.28582117471007,52.495140829681766,43.08962725275736,0.0,4.013847197782608,0.0,0.0,52.495140829681766,43.08962725275736,BNP-led Coalition,33.27080659492546,35.05117319906539,14.855630885457964,14.778123246055571,1.0105000623519145,1
Kushtia,Daulatpur,কুষ্টিয়া,দৌলতপুর,404453,131010,138118,46231,84779,101769,74877,52296,44501,345119,18404,123,90,0,40717,406018,276710,68.15215088986203,60.1684073578837,30.74879838097647,0.0,1.4668786816522714,0.4007806006288171,6.441400744461711,60.1684073578837,31.14957898160529,BNP-led Coalition,32.39189720437233,34.14933255532781,5.118272593309433,5.059713638463061,0.996145491086602,1
Kushtia,Bheramara,কুষ্টিয়া,ভেড়ামারা,186136,62837,65872,22686,40151,45098,35295,23411,19408,154799,9160,85,72,0,22020,184824,122156,66.09314807600744,40.2919218049052,57.75893120272438,0.0,1.5038147941975837,0.0,0.0,40.2919218049052,57.75893120272438,Jamaat-led Coalition,33.758649589547424,35.38917780547557,5.677082063906018,5.5814180213994975,1.0070986451975934,1
